tblUploadID,tblHaulID,tblCodeID_Country,tblCodeID_Institute,tblCodeID_Survey,ICES_HaulID,RecordType,Survey,Country,Institute,Campaign,SurveyPeriod,Ship,Gear,GearDeployment,MeshSize,MeshType,CodendMesh,StationNumber,HaulID,ELHaulFlag,NationalHaulID,Day,Month,Year,Hour,Minute,StartLatitude,StartLongitude,HaulDurationMinutes,HaulDurationSeconds,Distance,WireAngle,WireLength,Netopening,NetopeningArea,FlowEfficiency,NetClogging,FlowmeterType,FlowmeterBrand,FlowIntRevs,FlowIntCalibr,FlowExtRevs,FlowExtCalibr,VolumeFiltInt,ELVolFlag,DepthUpper,DepthLower,DepthBottom,SurTemp,Temp20m,Temp50m,Temp100m,BotTemp,SurSal,Sal20m,BotSal,STATREC,Notes
14531,1609779,12095,12308,12366,1609779,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,39,2026SE101,,2026SE901,18,1,2026,19,3,58.19488,11.20437,11,,426,,,,3.1416,,,MCR,Hydro-Bios,3029,3.33,,,,F,,37.1,56,,,,,,,,,45G1,
14531,1609779,12095,12308,12366,1609779,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,39,2026SE101,,2026SE901,18,1,2026,19,3,58.19488,11.20437,11,,426,,,,3.1416,,,MCR,Hydro-Bios,3029,3.33,,,,F,,37.1,56,,,,,,,,,45G1,
14531,1609779,12095,12308,12366,1609779,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,39,2026SE101,,2026SE901,18,1,2026,19,3,58.19488,11.20437,11,,426,,,,3.1416,,,MCR,Hydro-Bios,3029,3.33,,,,F,,37.1,56,,,,,,,,,45G1,
14531,1609781,12095,12308,12366,1609781,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,41,2026SE103,,2026SE903,18,1,2026,22,58,57.91551,10.83835,50,,4463,,,,3.1416,,,MCR,Hydro-Bios,14986,3.33,,,,F,,98.5,139.9,,,,,,,,,44G0,
14531,1609782,12095,12308,12366,1609782,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,42,2026SE104,,2026SE904,19,1,2026,0,57,57.86703,11.19805,33,,3278,,,,3.1416,,,MCR,Hydro-Bios,11633,3.33,,,,F,,54.4,59,,,,,,,,,44G1,
14531,1609782,12095,12308,12366,1609782,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,42,2026SE104,,2026SE904,19,1,2026,0,57,57.86703,11.19805,33,,3278,,,,3.1416,,,MCR,Hydro-Bios,11633,3.33,,,,F,,54.4,59,,,,,,,,,44G1,
14531,1609782,12095,12308,12366,1609782,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,42,2026SE104,,2026SE904,19,1,2026,0,57,57.86703,11.19805,33,,3278,,,,3.1416,,,MCR,Hydro-Bios,11633,3.33,,,,F,,54.4,59,,,,,,,,,44G1,
14531,1609782,12095,12308,12366,1609782,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,42,2026SE104,,2026SE904,19,1,2026,0,57,57.86703,11.19805,33,,3278,,,,3.1416,,,MCR,Hydro-Bios,11633,3.33,,,,F,,54.4,59,,,,,,,,,44G1,
14531,1609782,12095,12308,12366,1609782,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,42,2026SE104,,2026SE904,19,1,2026,0,57,57.86703,11.19805,33,,3278,,,,3.1416,,,MCR,Hydro-Bios,11633,3.33,,,,F,,54.4,59,,,,,,,,,44G1,
14531,1609782,12095,12308,12366,1609782,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,42,2026SE104,,2026SE904,19,1,2026,0,57,57.86703,11.19805,33,,3278,,,,3.1416,,,MCR,Hydro-Bios,11633,3.33,,,,F,,54.4,59,,,,,,,,,44G1,
14531,1609782,12095,12308,12366,1609782,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,42,2026SE104,,2026SE904,19,1,2026,0,57,57.86703,11.19805,33,,3278,,,,3.1416,,,MCR,Hydro-Bios,11633,3.33,,,,F,,54.4,59,,,,,,,,,44G1,
14531,1609782,12095,12308,12366,1609782,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,42,2026SE104,,2026SE904,19,1,2026,0,57,57.86703,11.19805,33,,3278,,,,3.1416,,,MCR,Hydro-Bios,11633,3.33,,,,F,,54.4,59,,,,,,,,,44G1,
14531,1609783,12095,12308,12366,1609783,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,46,2026SE105,,2026SE905,19,1,2026,17,12,57.43844,10.84117,14,,1074,,,,3.1416,,,MCR,Hydro-Bios,4372,3.33,,,,F,,31.3,38.9,,,,,,,,,43G0,
14531,1609783,12095,12308,12366,1609783,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,46,2026SE105,,2026SE905,19,1,2026,17,12,57.43844,10.84117,14,,1074,,,,3.1416,,,MCR,Hydro-Bios,4372,3.33,,,,F,,31.3,38.9,,,,,,,,,43G0,
14531,1609783,12095,12308,12366,1609783,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,46,2026SE105,,2026SE905,19,1,2026,17,12,57.43844,10.84117,14,,1074,,,,3.1416,,,MCR,Hydro-Bios,4372,3.33,,,,F,,31.3,38.9,,,,,,,,,43G0,
14531,1609783,12095,12308,12366,1609783,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,46,2026SE105,,2026SE905,19,1,2026,17,12,57.43844,10.84117,14,,1074,,,,3.1416,,,MCR,Hydro-Bios,4372,3.33,,,,F,,31.3,38.9,,,,,,,,,43G0,
14531,1609783,12095,12308,12366,1609783,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,46,2026SE105,,2026SE905,19,1,2026,17,12,57.43844,10.84117,14,,1074,,,,3.1416,,,MCR,Hydro-Bios,4372,3.33,,,,F,,31.3,38.9,,,,,,,,,43G0,
14531,1609783,12095,12308,12366,1609783,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,46,2026SE105,,2026SE905,19,1,2026,17,12,57.43844,10.84117,14,,1074,,,,3.1416,,,MCR,Hydro-Bios,4372,3.33,,,,F,,31.3,38.9,,,,,,,,,43G0,
14531,1609783,12095,12308,12366,1609783,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,46,2026SE105,,2026SE905,19,1,2026,17,12,57.43844,10.84117,14,,1074,,,,3.1416,,,MCR,Hydro-Bios,4372,3.33,,,,F,,31.3,38.9,,,,,,,,,43G0,
14531,1609783,12095,12308,12366,1609783,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,46,2026SE105,,2026SE905,19,1,2026,17,12,57.43844,10.84117,14,,1074,,,,3.1416,,,MCR,Hydro-Bios,4372,3.33,,,,F,,31.3,38.9,,,,,,,,,43G0,
14531,1609783,12095,12308,12366,1609783,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,46,2026SE105,,2026SE905,19,1,2026,17,12,57.43844,10.84117,14,,1074,,,,3.1416,,,MCR,Hydro-Bios,4372,3.33,,,,F,,31.3,38.9,,,,,,,,,43G0,
14531,1609783,12095,12308,12366,1609783,EH,I4537,SE,4484,MIKQ1SE2026,,77SE,MRN2,dO,1600,WovFab,500,46,2026SE105,,2026SE905,19,1,2026,17,12,57.43844,10.84117,14,,1074,,,,3.1416,,,MCR,Hydro-Bios,4372,3.33,,,,F,,31.3,38.9,,,,,,,,,43G0,
